pIC50,pIC50_std,smiles
9.698970004,,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(OCC(=O)N2CCOCC2)cc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12
4.128719027,,CCCC(C(O)=O)c1c(C)nc2sc3CCCCc3c2c1-c1ccc(CC)cc1
7.374687549,,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2CC(Cn3c(cc4c(F)cccc34)-c2n1)N1CC(F)C1)-c1ccc(C)nc1
4.695202795,0.983165222,Brc1ccc(CN=Nc2ccccn2)cc1
5.15739076,,COc1ccc(cc1)N(CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1)CC(=O)N(C)C
6.853871964,,COc1ccc(cc1)N(CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1)CC(=O)N(C)C
6.208309351,,Cn1cccc1C(=O)Nc1nc2ccc(Cl)cc2s1
4.673008046,0.049123956,CC1=C(C(N)=O)S(=O)(=O)c2ccccc12
7.366531544,,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1ccccn1)C(C)C
3.236572006,,CC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(O)=O)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(O)=O
8.698970004,0,NC(=O)O[C@@H]1Cc2ccccc2C1C1C=N[C@](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCOC2)(Cc2ccccc2)C1=O
4.774690718,,CCC(C)[C@H](NC(=O)CCCCCCCCCCCNC(=O)CNC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)\C=C\C(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
6.318758763,,Oc1cc(oc(=O)c1C(SC1CCCCC1)c1ccccc1)-c1ccccc1
4,,CCCC(NC(=O)[C@@H]1[C@H]2CC[C@H](F)[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)N[C@@H](Cc1ccccc1)C(O)=O
5.795880017,,CCCCC(NC(=O)CCCCCCCCCCCCCCC(=O)N[C@H](CC(=O)N[C@@H](Cc1ccccc1)C(O)=O)C(N)=O)C(=O)N[C@H](C(C)CC)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
6.527758664,1.230622259,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(O)C(F)(F)F
8.283996656,,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C
7.508638306,,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C
7.657577319,,CC(C)[C@H](NC(=O)N(C)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)CCc1ccccn1)C(C)C
5.207608311,,CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1cccc(c1)-c1ccccc1
4.542828421,0.767675316,O=C(Nc1ccc(cc1)-c1nc2ccc(NC(=O)c3cccs3)cc2[nH]1)c1cccs1
5.43224286,0.23283134,Oc1ccc2ccccc2c1CN=Nc1nnc(-c2ncc[nH]2)c2ccccc12
4.572846979,0.810127967,Oc1ccc(CN=Nc2cc(nc(n2)N2CCOCC2)N2CCOCC2)c(O)c1
4.451544993,0.638581054,Cc1csc2nc(CSc3nc4ccccc4o3)c(Br)n12
4,,COc1ccc(cc1)C(=O)NC(C)(C)C#C
5.9606912,0.267415846,CNC(=O)c1c(oc2ccc(cc12)-c1ccc2OCN(C(=O)c2n1)C(C)(C)c1ccc(F)cc1)-c1ccc(F)cc1
8.214670165,,COc1cc(CN2[C@H](Cc3ccccc3)[C@H](O)CN(N(Cc3ccc(O)c(OC)c3)C2=O)C(=O)CN2CCNCC2)ccc1O
4.877935691,0.160462522,COc1cc2ccccc2cc1C(=O)Nc1ccccc1Cl
6.995678626,,CC[C@H](C)[C@H](NC(=O)[C@@H]1N(CSC1(C)C)C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)c1ccccc1)C(C)(C)C)C(=O)N[C@@H](CCSC)C(N)=O
4.556430569,0.028741851,COc1ccc(O)c(c1)-c1cc([nH]n1)-c1cccc(Br)c1
6.337242168,,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](CC)C(=O)C(=O)NCc1nnn[nH]1
4.881228131,0.193041051,Clc1cccc(c1)-c1ccc(cc1)-c1nc2ccccn2c1NCc1ccccc1
5.462709889,0.496858675,Nc1ccc2ccccc2c1\N=N\c1ccc(\C=C\c2ccc(cc2S(O)(=O)=O)\N=N\c2c(N)ccc3ccccc23)c(c1)S(O)(=O)=O
6.107905397,,CCC(C1C(=O)CC2(CCCCC2)OC1=O)c1ccccc1
10.30103,,O[C@@H](C[C@@H](Cc1cc2cnccc2s1)C(=O)N[C@@H]1[C@H](O)COc2ccccc12)CN1CCN(Cc2ccc(s2)-c2ccc(Cl)cc2)C[C@H]1C(=O)NCC(F)(F)F
9.229147988,,CC(C)[C@@H]1[C@@H](CCS1(=O)=O)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CCN(CCc2cccs2)C[C@H]1C(=O)NC(C)(C)C
4.958607315,,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
5.316952962,,Fc1ccc2N(Cc3cc4ccccc4s3)C(=O)C(=O)c2c1
3.988429556,,COP(=O)(C(Cc1ccccc1)NC(=O)C(F)(F)F)N1CCC[C@H]1C(N)=O
4.075152367,,Cc1ccc(cc1)-c1c(C(Cc2ccccc2)C(O)=O)c(C)nc2sc3CCCc3c12
5.090443971,,CCCC(C(O)=O)c1c(C)nc2sc3CCCCc3c2c1-c1cc2ccccc2o1
8.207608311,,CCCNS(=O)(=O)Oc1cc(c(SC2C(=O)CC(C)(CCc3ccc(O)cc3)OC2=O)cc1C)C(C)(C)C
4.203425667,,CC(C)C[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C[C@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O
5.602059991,,CC(C)C[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O
6.124938737,,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
4.33683207,0.476352481,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
7.853871964,,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
6.37675071,,COCC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
9.568636236,0,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(cc1)[N+]([O-])=O)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12
9.568636236,,CC(C)(C)OC(=O)NC(Cc1ccccc1)[C@@H](O)CC(Cc1ccc(cc1)[N+]([O-])=O)C(=O)NC1[C@@H](O)Cc2ccccc12
9.568999909,,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccc(cc1)[N+]([O-])=O)C(=O)N[C@H]1[C@H](O)Cc2ccccc12
8.464796339,1.195021181,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1[C@H](O)Cc2ccccc12
9.744727495,,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cc3ccccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12
4.502689672,0.221842327,Cc1ccccc1-c1nnc(SCc2ccccc2F)o1
4.144518441,0.204379939,COc1ccc2[nH]c(=O)c(CNc3ccccc3OC)cc2c1
8.619788758,,N[C@@H]([C@@H](c1ccc(F)cc1)c1cccc(F)c1)C(=O)Nc1cncc(F)c1CC[C@@H]1CN[C@H](COC(=O)NCC(F)(F)F)CO1
4.224462365,,CC(C)C[C@H](NC(=O)c1nc[nH]c1C(=O)NCc1ccc(CNC(=O)OC(C)(C)C)cc1)C(=O)OC(C)(C)C
4.301029996,0,CC(=O)OCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)OCc1ccccc1
4.366531544,,Cn1c2c([nH+]c3cc(Cl)ccc23)c(NC2CCNCC2)c2ccc(Cl)cc12
3.709965389,,COc1ccc(cc1)[C@H]1[C@@]2(CO)C3N(C)C4[C@]1(CO)C1N(C)C2[C@]3(CO)[C@H](c2ccc(OC)cc2)[C@@]41CO
5.086186148,0,COc1cccc2nc3cc(C)c(C)cc3nc12
7.124938737,,CCCC[C@H](CC(O)C[C@@H](CCCC)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)OC)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)OC
10.39794001,,CC(C)(N1CCN(C[C@@H](O)C[C@@H](Cc2cc3cnccc3s2)C(=O)N[C@@H]2[C@H](O)COc3ccccc23)[C@@H](C1)C(=O)NCC(F)(F)F)c1ncc(s1)-c1ccc(Cl)cc1
4.250844723,0.354748009,COc1cc2nc(nc(N)c2cc1OC)N1CCNCC1
