,episode,step,epsilon,smiles,reward,q,random,loss,logP,ic50,QED,SA,cycles
2214,64,39,0.9684988314739038,B=C(CB)P(N=S)P1B=CP=C(F)P(C(F)(ON(F)OCl)P(I)I)SB1,-15.376857062289105,-36.51316,True,1.025912523269653,5.351200000000002,7.028266906738281,0.10503315134570344,-7.466333898175661,-2.0
2254,65,39,0.9680145820581668,BP(OCl)N(B(OP=S)B(I)OB(Cl)N=PB(B=N)N=O)P(F)BCl,-9.902816913699777,-39.1716,True,0.28620293736457825,3.5229700000000004,4.513596057891847,0.14054108449707642,-7.275879208204612,-0.0
2296,67,39,0.9670468094797544,NN=C(F)N(B(Cl)N=C(OOS)SC#[IH2])B(B1BC1(Br)OB(Cl)Br)P(F)I,-9.75296072271682,-37.399372,True,0.4539520144462586,3.3575000000000004,5.669147968292236,0.03182421272621557,-7.26063661672271,-0.0
2336,68,39,0.9665632860750146,OCN(SP=BN(Br)N(OC(Cl)([IH4])OOSCl)SP(Cl)N(F)SCl)C1=NO1,-8.004679401913712,-28.839607,True,0.5097179412841797,5.410400000000004,7.3874759674072275,0.02344608107295265,-6.894750186603535,-0.0
2376,69,39,0.9660800044319772,B#CN(Cl)P(BP(O)C(Cl)(I)B(F)C(Br)(N(CPP)B(Br)Br)P(Cl)P(Cl)OCl)SB=BF,-10.859557427955695,-32.368959999999994,True,0.4939784705638886,8.5414,5.035505771636963,0.033915822577571565,-7.772192297711341,-0.0
2415,70,38,0.9655969644297612,FOC(Cl)(Cl)SP(Br)B(B(Cl)BN(F)I)N(Br)SBr,-8.267409347658159,-23.479736,True,0.2656267881393433,6.168000000000003,5.975484848022461,0.054467010133743284,-6.367947020447595,-0.0
2456,71,39,0.9651141659475464,OBB(C(=I)N=BP)P(Br)B(SBn1bp[nH]1)C(F)=NCl,-9.767750205976498,-24.058874,False,0.8675759434700012,1.5371999999999997,4.185415267944337,0.2111897619541956,-7.3718809830695315,-0.0
2461,72,4,0.9646316088645728,Brp1ss1,-5.586663237515827,-14.492759,True,0.5930439233779907,2.9542,4.844501972198486,0.5313877215477326,-6.265476892621827,-0.0
2501,73,39,0.9641492930601404,FB(P=BSBr)C(S)(OCl)ON(N(Cl)I)P(OSI)SB(S)OSI,-10.311320406753484,-32.089844,True,0.5903366208076477,8.119600000000002,5.086371421813965,0.02613564878093887,-7.304869691711385,-0.0
2541,74,39,0.9636672184136104,[SH]#CN=NOC(I)(B1N=PP1OSI)N(Cl)N(I)P(Br)N(Br)Br,-10.489531738382489,-25.20843,True,0.955836296081543,8.369400000000002,4.916891098022461,0.021450197324463318,-7.312647635822575,-0.0
2587,76,39,0.9627037921120016,N=PP1BNNP(N)SN(P(F)Br)P(F)N2P1P=PN1N(P=O)C12n1os1,-24.895814695627283,-28.905003000000004,True,0.4184815287590027,7.117870000000001,4.4419288635253915,0.11637228969365444,-7.926430860263518,-4.0
2627,77,39,0.9622224402159456,BCP(Br)SOC(Cl)=BC(I)=NOSSSNB=PSCl,-10.018900879505248,-30.882126,True,0.2828583121299744,5.433200000000002,4.467186450958252,0.035160029865863564,-6.708699323349942,-0.0
2671,79,39,0.96126045833134,FCN(Cl)P1B(Cl)SP2BN=NSN(N2SBr)P(I)N(I)N1I,-17.16040955832867,-19.632839999999998,False,0.4522948265075684,7.617000000000003,5.174260139465332,0.07179245280506437,-4.6279560930185974,-3.0
2677,80,5,0.9607798281021742,FSOBr,-4.093850708218642,-13.878910999999999,True,1.02584969997406,1.8456,5.20589017868042,0.5229972057209553,-5.2167230464679815,-0.0
2720,81,39,0.9602994381881232,BP(CF)N(Cl)N(SBr)N(OBr)C(Cl)(SBr)C(N)(Br)I,-7.8344827060517375,-23.481731,True,0.41447913646698,5.325900000000002,7.094216346740723,0.03936583277393685,-6.6560563019263554,-0.0
2760,82,39,0.9598192884690292,N=C(P(B=NS)C(F)=BI)P1B(Br)C(OF)N(SOCl)P1C(I)=C(F)I,-9.907227898017382,-34.70045,True,0.404045969247818,7.620370000000002,5.182992935180664,0.05019127713437525,-7.178263782102476,-0.0
2800,83,39,0.9593393788247946,C=C(N=P)B(OP(PC(F)(F)Cl)B(F)SBr)P(Cl)OSN(Cl)N=I,-10.105809512310381,-26.791985999999998,True,1.1831247806549072,8.767399999999999,4.163466453552246,0.028231631211552036,-6.538896079424262,-0.0
2844,85,39,0.9583802792808146,NB(B(F)C(F)(Br)SCl)C(SOOS)P(N(P)SOP=BI)N(P)N(I)N=O,-10.30084801566582,-39.24382,True,1.0929893255233765,5.881600000000002,5.193913459777832,0.017704116798579538,-7.316453834126978,-0.0
2884,86,39,0.9579010891411742,OSN(B(Cl)B=P)B(P=NC(Cl)(Br)P(Br)I)C(Cl)=CBr,-10.129979612300126,-20.318545999999998,True,0.3196445107460022,7.4144,4.651823043823242,0.054188106291567985,-7.03666502015695,-0.0
2924,87,39,0.9574221385966036,FB(N(Br)SP(C(=CCl)N(OBr)P(Cl)I)N(Cl)Br)C(Cl)(Br)SCCCl,-9.309195679382972,-29.454033000000003,True,0.3592720329761505,10.062399999999997,4.955315113067627,0.0367157077560435,-6.451896855172924,-0.0
2964,88,39,0.9569434275273054,O=NP1BC(NP)(C(BF)=NCl)SC2(OP2)B(OF)N1SP(I)OSI,-11.891911244137724,-35.85716,True,0.7081001400947571,4.902700000000003,5.941498756408691,0.051873105129995115,-6.438190985865832,-1.0
3004,89,39,0.956464955813542,CPP(I)SC(OCl)(P(F)Cl)C(Cl)(Br)C(F)=NB(B(I)N=BI)P(Br)C(=I)N=S,-10.563861196230793,-29.296705,True,0.6156728267669678,10.5045,4.827770709991455,0.04611782254519989,-7.4635899852287,-0.0
3044,90,39,0.9559867233356352,O=C=C(Br)B(OI)N(F)B1C(P(NON=O)OF)=BBOSP(I)N1Cl,-16.838369045259327,-35.347713,True,0.22190313041210172,3.016999999999999,4.73460054397583,0.055679218916186345,-6.868800038914211,-2.0
3084,91,39,0.9555087299739674,FP(B(I)B(I)CCl)C(F)(Cl)SN(Cl)Br,-8.334619872692597,-23.060211,True,1.0615592002868652,5.7924000000000015,5.426591873168945,0.0945926693400818,-6.3027542770413625,-0.0
3124,92,39,0.9550309756089804,NC1=CC2(N(Br)I)SB(SI)N2P(OBr)OC2(Cl)B1N2Br,-15.977812270423325,-24.651531,True,0.3822729587554932,4.733200000000001,6.244264125823975,0.08401508358455834,-7.3211709161170395,-2.0
3164,93,39,0.9545534601211759,C=PC(Br)(P(OI)C(Br)C(=BO)OSN)P(Br)N(P(F)Br)C(I)([IH4])BN(Cl)Br,-10.745680228181495,-26.762503000000002,True,0.4110245108604431,7.263000000000003,5.104551792144775,0.029454231898257945,-7.696583350640059,-0.0
3204,94,39,0.9540761833911156,O=BP(Cl)N1OC(=PCl)OCP(I)N1OC(Br)(SCl)N(SC(O)Br)C(=NSBr)B(Br)I,-12.393896246537652,-35.228043,True,0.8582831025123596,8.5341,7.006327152252197,0.026327451734927967,-7.4024969230829045,-1.0
3244,95,39,0.95359914529942,ClC(OC(Br)ON=PBr)N(SOI)B1P=C1OP=PPI,-9.029683808876225,-32.80068,True,0.44461941719055176,7.606600000000002,7.135828971862793,0.024817317880119982,-7.586181007603692,-0.0
3284,96,39,0.9531223457267703,BC1(Cl)P(NBr)N(C(S)=PBr)C1(Cl)B(F)B(I)C(Cl)(Br)B(P)OP,-10.327263771718068,-29.588585,True,0.8821378350257874,4.831000000000004,4.815906524658203,0.07364701337835029,-7.425078945828735,-0.0
3324,97,39,0.9526457845539069,O=C(S)C(SC(Br)(SB(ON(OCl)B(Cl)Br)B(Cl)OCl)N(Cl)Br)B(F)Br,-9.045620697895828,-21.20925,True,1.10778546333313,5.8431000000000015,5.9895501136779785,0.0476212972810701,-6.98074912886571,-0.0
